iter	Passed	Remaining
0	208	20604
1	243	11915
2	278	8992
3	313	7515
4	348	6616
5	383	6002
6	418	5560
7	453	5220
8	488	4942
9	523	4715
10	559	4525
11	594	4359
12	629	4212
13	664	4080
14	700	3966
15	735	3859
16	770	3761
17	804	3665
18	840	3581
19	875	3503
20	911	3427
21	945	3350
22	980	3283
23	1015	3216
24	1051	3153
25	1085	3088
26	1120	3030
27	1155	2971
28	1192	2920
29	1227	2865
30	1262	2810
31	1297	2757
32	1332	2706
33	1367	2655
34	1402	2604
35	1529	2718
36	1564	2663
37	1599	2610
38	1634	2556
39	1669	2504
40	1703	2451
41	1739	2402
42	1774	2352
43	1809	2302
44	1844	2254
45	1879	2206
46	1914	2159
47	1950	2112
48	1987	2069
49	2022	2022
50	2057	1976
51	2093	1932
52	2140	1898
53	2183	1860
54	2220	1817
55	2256	1772
56	2290	1728
57	2326	1684
58	2362	1641
59	2397	1598
60	2433	1556
61	2468	1513
62	2503	1470
63	2538	1427
64	2573	1385
65	2610	1344
66	2645	1303
67	2680	1261
68	2715	1220
69	2750	1178
70	2785	1137
71	2820	1096
72	2855	1056
73	2890	1015
74	2926	975
75	2961	935
76	2998	895
77	3071	866
78	3130	832
79	3191	797
80	3245	761
81	3300	724
82	3353	686
83	3415	650
84	3471	612
85	3538	575
86	3603	538
87	3661	499
88	3699	457
89	3735	415
90	3774	373
91	3811	331
92	3846	289
93	3884	247
94	3923	206
95	3962	165
96	3979	123
97	4017	81
98	4054	40
99	4090	0
